"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Banned"
921,"Pawmi"," ","Electric"," ",240,45,50,20,40,25,60,9,"false"
922,"Pawmo"," ","Electric","Fighting",350,60,75,40,50,40,85,9,"false"
923,"Pawmot"," ","Electric","Fighting",490,70,115,70,70,60,105,9,"false"
924,"Tandemaus"," ","Normal"," ",305,50,50,45,40,45,75,9,"false"
925,"Maushold","Family of Three","Normal"," ",470,74,75,70,65,75,111,9,"false"
925,"Maushold","Family of Four","Normal"," ",470,74,75,70,65,75,111,9,"false"
926,"Fidough"," ","Fairy"," ",312,37,55,70,30,55,65,9,"false"
927,"Dachsbun"," ","Fairy"," ",477,57,80,115,50,80,95,9,"false"
928,"Smoliv"," ","Grass","Normal",260,41,35,45,58,51,30,9,"false"
929,"Dolliv"," ","Grass","Normal",354,52,53,60,78,78,33,9,"false"
930,"Arboliva"," ","Grass","Normal",510,78,69,90,125,109,39,9,"false"
931,"Squawkabilly","White Plumage","Normal","Flying",417,82,96,51,45,51,92,9,"false"
931,"Squawkabilly","Yellow Plumage","Normal","Flying",417,82,96,51,45,51,92,9,"false"
931,"Squawkabilly","Green Plumage","Normal","Flying",417,82,96,51,45,51,92,9,"false"
931,"Squawkabilly","Blue Plumage","Normal","Flying",417,82,96,51,45,51,92,9,"false"
932,"Nacli"," ","Rock"," ",280,55,55,75,35,35,25,9,"false"
933,"Naclstack"," ","Rock"," ",355,60,60,100,35,65,35,9,"false"
934,"Garganacl"," ","Rock"," ",500,100,100,130,45,90,35,9,"false"
935,"Charcadet"," ","Fire"," ",255,40,50,40,50,40,35,9,"false"
936,"Armarouge"," ","Fire","Psychic",525,85,60,100,125,80,75,9,"false"
937,"Ceruledge"," ","Fire","Ghost",525,75,125,80,60,100,85,9,"false"
938,"Tadbulb"," ","Electric"," ",272,61,31,41,59,35,45,9,"false"
939,"Bellibolt"," ","Electric"," ",495,109,64,91,103,83,45,9,"false"
940,"Wattrel"," ","Electric","Flying",280,40,40,35,55,40,70,9,"false"
941,"Kilowattrel"," ","Electric","Flying",490,70,70,60,105,60,125,9,"false"
942,"Maschiff"," ","Dark"," ",340,60,78,60,40,51,51,9,"false"
943,"Mabosstiff"," ","Dark"," ",505,80,120,90,60,70,85,9,"false"
944,"Shroodle"," ","Poison","Normal",290,40,65,35,40,35,75,9,"false"
945,"Grafaiai"," ","Poison","Normal",485,63,95,65,80,72,110,9,"false"
946,"Bramblin"," ","Grass","Ghost",275,40,65,30,45,35,60,9,"false"
947,"Brambleghast"," ","Grass","Ghost",480,55,115,70,80,70,90,9,"false"
948,"Toedscool"," ","Ground","Grass",335,40,40,35,50,100,70,9,"false"
949,"Toedscruel"," ","Ground","Grass",515,80,70,65,80,120,100,9,"false"
950,"Klawf"," ","Rock"," ",450,70,100,115,35,55,75,9,"false"
951,"Capsakid"," ","Grass"," ",304,50,62,40,62,40,50,9,"false"
952,"Scovillain"," ","Grass","Fire",486,65,108,65,108,65,75,9,"false"
953,"Rellor"," ","Bug"," ",270,41,50,60,31,58,30,9,"false"
954,"Rabsca"," ","Bug","Psychic",470,75,50,85,115,100,45,9,"false"
955,"Flittle"," ","Psychic"," ",255,30,35,30,55,30,75,9,"false"
956,"Espathra"," ","Psychic"," ",481,95,60,60,101,60,105,9,"false"
957,"Tinkatink"," ","Fairy","Steel",297,50,45,45,35,64,58,9,"false"
958,"Tinkatuff"," ","Fairy","Steel",380,65,55,55,45,82,78,9,"false"
959,"Tinkaton"," ","Fairy","Steel",506,85,75,77,70,105,94,9,"false"
960,"Wiglett"," ","Water"," ",245,10,55,25,35,25,95,9,"false"
961,"Wugtrio"," ","Water"," ",425,35,100,50,50,70,120,9,"false"
962,"Bombirdier"," ","Flying","Dark",485,70,103,85,60,85,82,9,"false"
963,"Finizen"," ","Water"," ",315,70,45,40,45,40,75,9,"false"
964,"Palafin","Zero Form","Water"," ",457,100,70,72,53,62,100,9,"false"
934,"Palafin","Hero Form","Water"," ",650,100,160,97,106,87,100,9,"false"
965,"Varoom"," ","Steel","Poison",300,45,70,63,30,45,47,9,"false"
966,"Revavroom"," ","Steel","Poison",500,80,119,90,54,67,90,9,"false"
967,"Cyclizar"," ","Dragon","Normal",501,70,95,65,85,65,121,9,"false"
968,"Orthworm"," ","Steel"," ",480,70,85,145,60,55,65,9,"false"
969,"Glimmet"," ","Rock","Poison",350,48,35,42,105,60,60,9,"false"
970,"Glimmora"," ","Rock","Poison",525,83,55,90,130,81,86,9,"false"
971,"Greavard"," ","Ghost"," ",290,50,61,60,30,55,34,9,"false"
972,"Houndstone"," ","Ghost"," ",488,72,101,100,50,97,68,9,"false"
973,"Flamigo"," ","Flying","Fighting",500,82,115,74,75,64,90,9,"false"
974,"Cetoddle"," ","Ice"," ",334,108,68,45,30,40,43,9,"false"
975,"Cetitan"," ","Ice"," ",521,170,113,65,45,55,73,9,"false"
976,"Veluza"," ","Water","Psychic",478,90,102,73,78,65,70,9,"false"
977,"Dondozo"," ","Water"," ",530,150,100,115,65,65,35,9,"false"
978,"Tatsugiri"," ","Dragon","Water",475,68,50,60,120,95,82,9,"false"
979,"Annihilape"," ","Fighting","Ghost",535,110,115,80,50,90,90,9,"false"
980,"Clodsire"," ","Poison","Ground",430,130,75,60,45,100,20,9,"false"
981,"Farigiraf"," ","Normal","Psychic",520,120,90,70,110,70,60,9,"false"
982,"Dudunsparce","Two-Segment Form","Normal"," ",520,125,100,80,85,75,55,9,"false"
982,"Dudunsparce","Three-Segment Form","Normal"," ",520,125,100,80,85,75,55,9,"false"
983,"Kingambit"," ","Dark","Steel",550,100,135,120,60,85,50,9,"false"
984,"Great Tusk"," ","Ground","Fighting",570,115,131,131,53,53,87,9,"true"
985,"Scream Tail"," ","Fairy","Psychic",570,115,65,99,65,115,111,9,"true"
986,"Brute Bonnet"," ","Grass","Dark",570,111,127,99,79,99,55,9,"true"
987,"Flutter Mane"," ","Ghost","Fairy",570,55,55,55,135,135,135,9,"true"
988,"Slither Wing"," ","Bug","Fighting",570,85,135,79,85,105,81,9,"true"
989,"Sandy Shocks"," ","Electric","Ground",570,85,81,97,121,85,101,9,"true"
990,"Iron Treads"," ","Ground","Steel",570,90,112,120,72,70,106,9,"true"
991,"Iron Bundle"," ","Ice","Water",570,56,80,114,124,60,136,9,"true"
992,"Iron Hands"," ","Fighting","Electric",570,154,140,108,50,68,50,9,"true"
993,"Iron Jugulis"," ","Dark","Flying",570,94,80,86,122,80,108,9,"true"
994,"Iron Moth"," ","Fire","Poison",570,80,70,60,140,110,110,9,"true"
995,"Iron Thorns"," ","Rock","Electric",570,100,134,110,70,84,72,9,"true"
996,"Frigibax"," ","Dragon","Ice",320,65,75,45,35,45,55,9,"false"
997,"Arctibax"," ","Dragon","Ice",423,90,95,66,45,65,62,9,"false"
998,"Baxcalibur"," ","Dragon","Ice",600,115,145,92,75,86,87,9,"false"
999,"Gimmighoul","Chest Form","Ghost"," ",300,45,30,70,75,70,10,9,"false"
999,"Gimmighoul","Roaming Form","Ghost"," ",300,45,30,25,75,45,80,9,"false"
1000,"Gholdengo"," ","Steel","Ghost",550,87,60,95,133,91,84,9,"false"
1001,"Wo-Chien"," ","Dark","Grass",570,85,85,100,95,135,70,9,"true"
1002,"Chien-Pao"," ","Dark","Ice",570,80,120,80,90,65,135,9,"true"
1003,"Ting-Lu"," ","Dark","Ground",570,155,110,125,55,80,45,9,"true"
1004,"Chi-Yu"," ","Dark","Fire",570,55,80,80,135,120,100,9,"true"
1005,"Roaring Moon"," ","Dragon","Dark",590,105,139,71,55,101,119,9,"true"
1006,"Iron Valiant"," ","Fairy","Fighting",590,74,130,90,120,60,116,9,"true"
1007,"Koraidon"," ","Fighting","Dragon",670,100,135,115,85,100,135,9,"true"
1008,"Miraidon"," ","Electric","Dragon",670,100,85,100,135,115,135,9,"true"
